title,offering,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,url
4 bedroom house for sale,buy,2995000,4,2,-33.8382826,18.6887996,S.O.A.,Houses,https://www.residentialpeople.com/za/property/gv82gg/
3 bedroom house for sale,buy,1595000,3,1,-33.845619,18.694184,S.O.A.,Houses,https://www.residentialpeople.com/za/property/rdku6t/
3 bedroom house for sale,buy,1675000,3,2,-33.8457816,18.6943673,130.0,Houses,https://www.residentialpeople.com/za/property/vj4e2v/
3 bedroom house for sale,buy,1675000,3,2,-33.8457816,18.6943673,130.0,Houses,https://www.residentialpeople.com/za/property/m32lvy/
4 bedroom house for sale,buy,3349001,4,3,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wqv4zn/
3 bedroom house for sale,buy,2590000,3,1,-33.8159868,18.6651345,221.0,Houses,https://www.residentialpeople.com/za/property/cvqdtl/
3 bedroom house for sale,buy,1350000,3,1,-33.86847,18.70676,333.0,Houses,https://www.residentialpeople.com/za/property/b5u34tmk-northpine-brackenfell/
3 bedroom house for sale,buy,1349999,3,2,-34.0314456,18.5035107,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nzekkv/
3 bedroom house for sale,buy,3175000,3,2,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/oe8smm/
3 bedroom house for sale,buy,2794999,3,2,-33.7978574,18.4875392,S.O.A.,Houses,https://www.residentialpeople.com/za/property/lx4w9d-freehold/
3 bedroom house for sale,buy,2595000,3,1,-33.832416,18.6834177,196.0,Houses,https://www.residentialpeople.com/za/property/ulx8fa/
2 bedroom house for sale,buy,590000,2,1,-33.9892449,18.6843685,S.O.A.,Houses,https://www.residentialpeople.com/za/property/dwu75k/
3 bedroom house for sale,buy,2175000,3,2,-33.8002598,18.4828384,S.O.A.,Houses,https://www.residentialpeople.com/za/property/ze6rxj/
3 bedroom house for sale,buy,2395000,3,1,-33.8422584,18.6912767,174.0,Houses,https://www.residentialpeople.com/za/property/r3uqhy/
4 bedroom house for sale,buy,3650000,4,2,-33.9390719,18.71276,S.O.A.,Houses,https://www.residentialpeople.com/za/property/nwrn6m/
3 bedroom house for sale,buy,6250000,3,2,-33.927416,18.406551,S.O.A.,Houses,https://www.residentialpeople.com/za/property/mce36u-freehold/
4 bedroom house for sale,buy,3620000,4,3,-33.9390719,18.71276,S.O.A.,Houses,https://www.residentialpeople.com/za/property/hz483n/
3 bedroom house for sale,buy,2249000,3,2,-33.8002598,18.4828384,S.O.A.,Houses,https://www.residentialpeople.com/za/property/szwmra-freehold/
4 bedroom house for sale,buy,6950000,4,3,-33.9390719,18.71276,1040.0,Houses,https://www.residentialpeople.com/za/property/f6ldts/
1 bedroom flat/apartment for sale,buy,1200000,1,1,-33.9341733,18.7138729,47.0,Flats/Apartments,https://www.residentialpeople.com/za/property/kjtlxr/
3 bedroom house for sale,buy,1995000,3,2,-33.9341733,18.7138729,150.0,Houses,https://www.residentialpeople.com/za/property/c6e9ys/
8 bedroom house for sale,buy,2149000,8,4,-34.0355838,18.5166348,S.O.A.,Houses,https://www.residentialpeople.com/za/property/bwunlm/
3 bedroom house for sale,buy,3500000,3,3,-33.9341733,18.7138729,S.O.A.,Houses,https://www.residentialpeople.com/za/property/x5vsft/
3 bedroom house for sale,buy,2250000,3,2,-33.9341733,18.7138729,189.0,Houses,https://www.residentialpeople.com/za/property/m9qccn/
2 bedroom flat/apartment for sale,buy,350000,2,1,-34.0355838,18.5166348,51.0,Flats/Apartments,https://www.residentialpeople.com/za/property/pvld6z/
3 bedroom house for sale,buy,6850000,3,3,-33.9086069,18.4045679,S.O.A.,Houses,https://www.residentialpeople.com/za/property/f7bekj-freehold/
3 bedroom house for sale,buy,3195000,3,3,-33.9390719,18.71276,S.O.A.,Houses,https://www.residentialpeople.com/za/property/tqzqnw/
2 bedroom flat/apartment for sale,buy,2890000,2,1,-33.9332799,18.406638,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/ebbyxk/
3 bedroom house for sale,buy,2882000,3,2,-33.7924017,18.4999933,S.O.A.,Houses,https://www.residentialpeople.com/za/property/kpvkjo/
3 bedroom flat/apartment for sale,buy,9999000,3,3,-33.8008003,18.4799698,S.O.A.,Flats/Apartments,https://www.residentialpeople.com/za/property/oohzrc/
3 bedroom house for sale,buy,2790000,3,2,-33.7924017,18.4999933,S.O.A.,Houses,https://www.residentialpeople.com/za/property/q2pk6j-freehold/
5 bedroom house for sale,buy,4399000,5,5,-33.8038609,18.4740088,S.O.A.,Houses,https://www.residentialpeople.com/za/property/zmh68g-freehold/
3 bedroom house for sale,buy,2790000,3,2,-33.7924017,18.4999933,S.O.A.,Houses,https://www.residentialpeople.com/za/property/e9vxbg/
3 bedroom house for sale,buy,2400001,3,2,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/wuchye/
3 bedroom house for sale,buy,2895001,3,2,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/df3alv/
4 bedroom house for sale,buy,3595000,4,2,-33.8379574,18.6887269,313.0,Houses,https://www.residentialpeople.com/za/property/wshsow/
4 bedroom house for sale,buy,2874000,4,3,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/k69khg/
3 bedroom house for sale,buy,2990000,3,2,-33.7918951,18.5032267,S.O.A.,Houses,https://www.residentialpeople.com/za/property/k6l65t-freehold/
4 bedroom house for sale,buy,3830000,4,2,-33.7965229,18.4906906,S.O.A.,Houses,https://www.residentialpeople.com/za/property/s48bkq/
3 bedroom house for sale,buy,2950000,3,2,-33.7918951,18.5032267,S.O.A.,Houses,https://www.residentialpeople.com/za/property/holhmr/
3 bedroom house for sale,buy,2695000,3,2,-33.803674,18.475848,S.O.A.,Houses,https://www.residentialpeople.com/za/property/t7dv7h/
3 bedroom duplex for sale,buy,2450000,3,2,-33.826864,18.677512,S.O.A.,Duplex,https://www.residentialpeople.com/za/property/o5aewa/
