,price,bedrooms,bathrooms,latitude,longitude,floor_size,property_type,binned_price
1372,2899000,3.0,2,-34.1062492,18.8176446,285.0,Houses,16
1373,1795000,2.0,1,-34.0756899,18.843265600000002,,Townhouses,10
1374,3495000,3.0,3,-34.0756899,18.843265600000002,,Houses,19
1375,1995000,3.0,2,-34.0756899,18.843265600000002,155.0,Flats/Apartments,11
1376,2850000,3.0,2,-34.0756899,18.843265600000002,,Houses,16
1377,2250000,4.0,3,-34.0756899,18.843265600000002,,Houses,13
1378,2699000,3.0,2,-33.6304436,18.6288254,,Houses,15
1379,1750000,3.0,2,-34.0756899,18.843265600000002,134.0,Townhouses,10
1380,5300000,3.0,2,-34.0756899,18.843265600000002,252.0,Houses,29
1381,2595000,3.0,2,-34.0756899,18.843265600000002,,Houses,14
1383,1100000,2.0,2,-34.0756899,18.843265600000002,,Flats/Apartments,6
1384,2395000,3.0,2,-34.0756899,18.843265600000002,,Houses,13
1385,3480000,4.0,3,-34.0756899,18.843265600000002,,Houses,19
1386,5950000,5.0,4,-34.0756899,18.843265600000002,800.0,Houses,33
1387,3750000,4.0,3,-34.0756899,18.843265600000002,,Houses,21
1388,1050000,2.0,2,-34.0756899,18.843265600000002,,Flats/Apartments,6
1389,3695000,3.0,2,-34.0756899,18.843265600000002,220.0,Cluster Houses,20
1390,1595000,3.0,2,-34.0756899,18.843265600000002,162.0,Simplex,9
1391,1395000,3.0,1,-34.0756899,18.843265600000002,,Houses,8
1392,3515000,3.0,2,-34.0756899,18.843265600000002,202.0,Houses,19
1393,1648000,2.0,1,-34.0756899,18.843265600000002,72.0,Houses,9
1394,3895000,4.0,4,-34.0756899,18.843265600000002,,Houses,21
1395,2850000,4.0,2,-34.0756899,18.843265600000002,,Houses,16
1396,2495000,3.0,2,-34.0756899,18.843265600000002,,Houses,14
1397,1100000,2.0,1,-34.0756899,18.843265600000002,,Townhouses,6
1398,7495000,4.0,4,-34.0756899,18.843265600000002,,Houses,41
1399,2040000,3.0,2,-34.0756899,18.843265600000002,,Houses,11
1400,2199000,3.0,2,-34.088792,18.831637,109.0,Flats/Apartments,12
1401,2350000,3.0,2,-34.0756899,18.843265600000002,,Houses,13
1402,3495000,3.0,3,-34.0595542,18.856473899999997,,Houses,19
1403,1095000,2.0,1,-34.0925942,18.8290422,,Houses,6
1404,2395000,3.0,2,-34.0756899,18.843265600000002,,Houses,13
1405,2085000,3.0,2,-34.0756899,18.843265600000002,,Houses,12
